date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999987101469,1.0000000013788624,46303774477
2024-12-25,1.0,0.9999999984069283,1.0000000015579704,46303774477
2024-12-26,1.0,0.9999999977618059,1.0000000018084891,46303774477
2024-12-27,1.0,0.9999999971305836,1.0000000023909028,46303774477
2024-12-28,1.0,0.9999999955606832,1.0000000032852945,46303774477
2024-12-29,1.0,0.9999999940456787,1.0000000048976438,46303774477
2024-12-30,1.0,0.9999999925077253,1.0000000069421158,46303774477
2024-12-31,1.0,0.9999999904910778,1.0000000081689266,46303774477
2025-01-01,1.0,0.9999999880990508,1.000000010346294,46303774477
2025-01-02,1.0,0.9999999864073766,1.0000000130645375,46303774477
2025-01-03,1.0,0.9999999840394701,1.0000000149206625,46303774477
2025-01-04,1.0,0.9999999811042659,1.000000017515726,46303774477
2025-01-05,1.0,0.9999999792684696,1.0000000195899728,46303774477
2025-01-06,1.0,0.9999999765367744,1.0000000229004944,46303774477
2025-01-07,1.0,0.9999999737225536,1.0000000256096315,46303774477
2025-01-08,1.0,0.9999999710654304,1.000000028622012,46303774477
2025-01-09,1.0,0.9999999672059129,1.0000000314282,46303774477
2025-01-10,1.0,0.9999999641120216,1.000000034025453,46303774477
2025-01-11,1.0,0.9999999595523682,1.0000000372452595,46303774477
2025-01-12,1.0,0.9999999558789753,1.0000000408410135,46303774477
2025-01-13,1.0,0.9999999532326611,1.0000000445470631,46303774477
2025-01-14,1.0,0.9999999496504298,1.000000047472316,46303774477
2025-01-15,1.0,0.9999999454389009,1.0000000512094838,46303774477
2025-01-16,1.0,0.9999999413358734,1.0000000552366148,46303774477
2025-01-17,1.0,0.9999999367066228,1.0000000588838012,46303774477
2025-01-18,1.0,0.9999999322058478,1.0000000623555103,46303774477
2025-01-19,1.0,0.9999999288256851,1.0000000647390554,46303774477
2025-01-20,1.0,0.9999999240642129,1.0000000702735723,46303774477
2025-03-04,1.9999996656589085,1.9999996656574985,1.999999665660304,46303862950
2025-03-05,1.9999996656589087,1.9999996656573855,1.999999665660412,46303862950
2025-03-06,1.9999996656589092,1.9999996656573313,1.9999996656605572,46303862950
2025-03-07,1.9999996656589094,1.9999996656571128,1.9999996656608034,46303862950
2025-03-08,1.9999996656589096,1.999999665656917,1.9999996656614818,46303862950
2025-03-09,1.99999966565891,1.9999996656562693,2.000008635449853,46303862950
2025-03-10,1.9999996656589103,1.9999817389879637,2.0000325879884366,46303862950
2025-03-11,1.9999996656589105,1.9999435747179934,2.000085871370987,46303862950
2025-03-12,1.9999996656589107,1.99989694332869,2.000155319748955,46303862950
2025-03-13,1.9999996656589112,1.9998471247630103,2.0002196101504612,46303862950
2025-03-14,1.9999996656589114,1.9997668181905517,2.000287098432299,46303862950
2025-03-15,1.9999996656589116,1.9996810318926406,2.000359460674838,46303862950
2025-03-16,1.9999996656589119,1.9996090559341815,2.000418684273838,46303862950
2025-03-17,1.9999996656589123,1.9994792685384644,2.0005133701131363,46303862950
2025-03-18,1.9999996656589125,1.999367419129879,2.0005970884345783,46303862950
2025-03-19,1.9999996656589127,1.9992759283489119,2.000685466524707,46303862950
2025-03-20,1.9999996656589132,1.9991938411770038,2.0008138178646955,46303862950
2025-03-21,1.9999996656589134,1.9990474554471387,2.0009701852932187,46303862950
2025-03-22,1.9999996656589136,1.9989064414292967,2.0010953731939627,46303862950
2025-03-23,1.9999996656589138,1.9988007848342184,2.001204711158164,46303862950
2025-03-24,1.9999996656589143,1.9986675960520228,2.001341951571942,46303862950
2025-03-25,1.9999996656589145,1.9984997034787386,2.0014318486076057,46303862950
2025-03-26,1.9999996656589147,1.9983815626500767,2.001566208301455,46303862950
2025-03-27,1.999999665658915,1.9982488786355597,2.0016850526563243,46303862950
2025-03-28,1.9999996656589154,1.9981125795247396,2.001814081995973,46303862950
2025-03-29,1.9999996656589156,1.9979756709737815,2.0019712897755717,46303862950
2025-03-30,1.9999996656589158,1.9977823739133806,2.0021032072730427,46303862950
2025-03-31,1.9999996656589163,1.9975863764685442,2.0022439911891374,46303862950
2025-03-04,5.434594712288742,1.1899475714688734,9.486185134418646,46303877432
2025-03-05,4.865590756422698,0.6185808494747916,9.091872495041216,46303877432
2025-03-06,4.296586800556639,0.3517614467118874,8.48028787896238,46303877432
2025-03-07,3.7275828446905948,-0.43436049121740905,7.443437258167734,46303877432
2025-03-08,3.1585788888245503,-1.2017540425241644,7.182311530014797,46303877432
2025-03-09,2.589574932958506,-1.445810297266889,7.029673229336582,46303877432
2025-03-10,2.0205709770924614,-2.241667816250626,6.091087928267971,46303877432
2025-03-11,1.451567021226417,-2.684261304251993,5.619264618413151,46303877432
2025-03-12,0.8825630653603653,-3.3154528521184052,4.957245768701945,46303877432
2025-03-13,0.31355910949432086,-3.9436581203485734,4.462508580648826,46303877432
2025-03-14,-0.2554448463717236,-4.16014491478253,3.8133833346284516,46303877432
2025-03-15,-0.8244488022377681,-4.69651590831887,2.9161390876912265,46303877432
2025-03-16,-1.3934527581038125,-5.568486254889813,2.5832582306526226,46303877432
2025-03-17,-1.962456713969857,-5.960995875442388,2.3813889949454397,46303877432
2025-03-18,-2.5314606698359157,-6.843699279302101,1.7654382889807922,46303877432
2025-03-19,-3.10046462570196,-7.2432069088970685,0.7936921786678731,46303877432
2025-03-20,-3.6694685815680046,-7.673196530811315,0.7013308132991288,46303877432
2025-03-21,-4.238472537434049,-8.394904293592468,0.00845919404040369,46303877432
2025-03-22,-4.8074764933000935,-9.023449678346086,-0.6839766585414954,46303877432
